,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
1348,9253,1,3.0050420168067227,45.51390243902439,52.0,114.6054131054131,1339.0,
1349,9279,1,3.0050420168067227,43.5,98.4,114.6054131054131,229.7,4.5
1350,9305,1,3.0050420168067227,28.0,49.3,114.6054131054131,1213.9,
1351,9318,1,6.0,67.0,195.0,170.0,3828.0,3.7
1352,9323,1,3.0050420168067227,25.5,32.8,114.6054131054131,774.3,2.8
1353,9343,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
1354,9421,1,5.0,45.51390243902439,127.0,114.6054131054131,2543.0,
1355,9462,1,3.0050420168067227,85.0,160.0,228.0,3200.0,
1356,9478,1,3.0050420168067227,34.2,57.4,114.6054131054131,1745.4,
1357,9501,1,3.0050420168067227,32.9,45.9,114.6054131054131,2460.7,
1358,9549,1,3.0050420168067227,120.0,420.0,400.0,2800.0,
1359,9575,1,3.0050420168067227,25.5,22.7,114.6054131054131,1259.8,2.5
1360,9657,0,3.0050420168067227,21.7,27.9,114.6054131054131,679.2,
1361,9753,1,3.0050420168067227,58.0,70.0,75.0,1900.0,
1362,9775,1,3.0050420168067227,90.0,305.0,300.0,5100.0,
1363,9871,1,3.0050420168067227,35.0,32.0,36.0,1239.0,
1364,9912,1,3.0050420168067227,13.4,87.93446200150488,114.6054131054131,590.6,
1365,9994,0,3.0050420168067227,51.0,105.4,91.8,3508.0,3.5
