,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
6022,Brucomela,Parko Paliatso Luna Park,"Ayia Napa, Famagusta, Cyprus",Operating,,,,,,,Big Apple / Wacky Worm,
6023,Jet Coaster,Rakutenchi,"Beppu, Ōita, Japan",Operating,,31.1,49.3,,1476.4,,,Meisho Amusement Machines
6024,Crazy Mouse,Beijing Shijingshan Amusement Park,"Shijingshan, Beijing, China",Defunct,,,,,,,Mite Mouse,Beijing Shibaolai Amusement Equipment
6025,Inferno,Cinecittà World,"Rome, Lazio, Italy",Operating,,43.5,65.6,,1492.8,,,Intamin Amusement Rides
6026,Tyfoon,DippieDoe Attractiepark,"Best, North Brabant, Netherlands",Operating,,24.9,36.1,,1273.0,,,Zierer
6027,Undertow,Santa Cruz Beach Boardwalk,"Santa Cruz, California, United States",Operating,,40.0,50.0,,1410.0,,,Maurer Rides GmbH
6028,Switchback,ZDT'S Amusement Park,"Seguin, Texas, United States",Operating,,41.0,64.0,56.0,1196.0,,,Gravitykraft Corporation
6029,Flinker Fridolin,Panorama Park,"Kirchhundem, North Rhine-Westphalia, Germany",Defunct,,32.9,45.9,,2460.7,,,Zierer
6030,Star Mountain,Beto Carrero World,"Penha, Santa Catarina, Brazil",Operating,2.0,40.0,75.0,68.0,2400.0,,,Vekoma
6031,Meteor,Little Amerricka,"Marshall, Wisconsin, United States",Operating,,,28.0,,900.0,,,"Philadelphia Toboggan Coasters, Inc."
6032,Space Shuttle,Enchanted Kingdom,"Santa Rosa, Laguna, Philippines",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
6033,Achterbahn,Ferienzentrum Schloss Dankern,"Haren, Lower Saxony, Germany",Operating,,31.1,45.9,,1148.3,,,abc rides
6034,Big Apple,Dreamland,"Margate, Kent, England, United Kingdom",Defunct,,,,,,,Big Apple / Wacky Worm,Pinfari
6035,Roller Coaster,Jin Jiang Action Park,"Minhang, Shanghai, China",SBNO,1.0,,,,,,,
6036,Trampolino-Coaster,Trampolino Familien- und Freizeitpark,"Andernach, Rhineland-Palatinate, Germany",Operating,,,,,,,Zyklon / Galaxi,SBF Visa Group
6037,Cirkusexpressen,Liseberg,"Gothenburg, Västra Götaland, Sweden",Defunct,,19.9,19.7,,652.9,,,Zierer
6038,Mini Caterpillar,Leningradskiy Zoopark,"Saint Petersburg, Saint Petersburg, Russia",Operating,,,,,,,Oval,Golden Horse
6039,Port of Sky Treasure,Sun World Danang Wonders,"Đà Nẵng, Vietnam",Operating,,,52.5,,2234.3,,,Vekoma
6040,Zombie Ride,Bosque Mágico,"Guadalupe, Nuevo León, Mexico",Operating,1.0,62.0,150.0,,863.0,,,Premier Rides
6041,Montaña Rusa,M'nar Park,"Tangier, Tanger-Tetouan-Al Hoceima, Morocco",Operating,,,,,,,Zyklon / Galaxi,"Mundial Park, s.r.l."
6042,Thriller,Land Of Make Believe,"Hope, New Jersey, United States",Operating,,,,,,,Oval,E&F Miler Industries
6043,Cobra,Oasis Lanes & Amusement Center,"El Paso, Texas, United States",Defunct,,,20.0,,,,,Wisdom Rides
6044,Bruco Mela,Haway Park Cassino,"Cassino, Lazio, Italy",Operating,,,,,,,Big Apple / Wacky Worm,
6045,Loop Screw,Seibuen Yuenchi,"Tokorozawa, Saitama, Japan",Defunct,3.0,49.7,98.4,,2952.8,,,Togo
6046,Dragon,Paperopolis,"Bellaria - Igea Marina, Emilia-Romagna, Italy",Operating,,,,,,,,
6047,Tree Top Racers,Adventure City,"Anaheim, California, United States",Defunct,,,35.0,,900.0,,Wild Mouse,Miler Manufacturing
6048,Crazy Mouse,Zheshan Park,"Wuhu, Wuhu, Anhui, China",Operating,,,,,,,Mite Mouse,
6049,Old Gold Mine Roller Coaster,Century Amusement Park,"Guancheng, Zhengzhou, Henan, China",Operating,2.0,,,,2913.4,,,Sameco
6050,Mad Mouse,Bayside Fun Park,"Bridlington, East Riding of Yorkshire, England, United Kingdom",Defunct,,,,,,,Wild Mouse,Fabbri
6051,Spinning Yacht,Crab Island Children's Theme Park,"Chaoyang, Beijing, China",Defunct,,,,,,,Oval,"Jingbei Amusement Equipment Co., Ltd."
6052,Polar Mine Train,Shijiazhuang Botanical Garden,"Luquan, Shijiazhuang, Hebei, China",Operating,,,,,,,,Beijing Shibaolai Amusement Equipment
6053,Zephyr,Pontchartrain Beach,"New Orleans, Louisiana, United States",Defunct,,,68.0,,2300.0,,,
6054,Choconoy,Xetulul,"San Martín Zapotitlán, Retalhuleu, Guatemala",Operating,,22.4,26.3,,1181.1,,Double Figure Eight,Zierer
6055,King of Kings,Guiyang Happy World,"Baiyun, Guiyang, Guizhou, China",Operating,4.0,49.7,124.0,,,,,Golden Horse
6056,High Roller,Stratosphere Tower,"Las Vegas, Nevada, United States",Defunct,,30.0,,,865.0,,,S&MC
6057,Carrello della Gobba,Osteria Ai Pioppi,"Treviso, Veneto, Italy",Operating,,,,,,,,
6058,Pine Forest Flying Mouse,Magic Emerald City,"Jinghai, Tianjin, China",Operating,,,,,,,Jungle Mouse,
6059,Condor,Walibi Holland,"Biddinghuizen, Flevoland, Netherlands",Operating,5.0,49.7,101.7,,2171.9,,,Vekoma
6060,Dinosaur's Spine,Lewa Adventure,"Jingyang, Xianyang, Shaanxi, China",Operating,4.0,49.7,124.0,,,,,Golden Horse
6061,Wacky Worm,DelGrosso's Amusement Park,"Tipton, Pennsylvania, United States",Operating,,,,,,,Big Apple / Wacky Worm,Fajume
6062,Wild Mouse,Plopsa Coo,"Stavelot, Liège, Wallonia, Belgium",Defunct,,29.1,42.7,,1377.9,2.5,Wild Mouse,Reverchon
6063,Roller Coaster,Central Park,"Karaganda, Karaganda, Kazakhstan",Operating,,,,,,,,Schwarzkopf
6064,Jungle Mouse,Hamanako Pal Pal,"Hamamatsu, Shizuoka, Japan",Operating,,,,,,,Jungle Mouse,"Sansei Yusoki Co., Ltd."
6065,Dragon Roaring Heaven,Joyland,"Wujin, Changzhou, Jiangsu, China",Operating,,29.8,52.5,,2578.8,,,Golden Horse
6066,Anaconda,Kings Dominion,"Doswell, Virginia, United States",Operating,4.0,50.0,128.0,144.0,2700.0,,,Arrow Dynamics
6067,Oruga,Parque Lenin,"Havana, Havana, Cuba",Operating,,,,,,,Big Apple / Wacky Worm,Beijing Shibaolai Amusement Equipment
6068,Roller Coaster,Sparky's Family Entertainment Centre,"Dubai, Dubai, United Arab Emirates",Defunct,,22.4,,,1010.5,,,I.E. Park
6069,Meow Meow Coaster,Bada Forest Paradise,"Chaojhou, Pingtung County, Taiwan",SBNO,,,9.8,,,,,
6070,Dragon,Playland Salvador,"Salvador, Bahia, Brazil",Operating,,,,,,,,Zamperla
6071,Bruco Mela,EuroPark Milano Idroscalo,"Segrate, Lombardy, Italy",Operating,,,,,,,Big Apple / Wacky Worm,
6072,Greezed Lightnin',Kentucky Kingdom,"Louisville, Kentucky, United States",Defunct,1.0,57.0,137.8,,863.0,,Shuttle Loop,Schwarzkopf
6073,Afterburner,Wonder Island,"Saint Petersburg, Saint Petersburg, Russia",Defunct,2.0,,150.9,,,,,S&S Sansei Technologies
6074,Dueling Dragons,Guangzhou Sunac Land,"Huadu, Guangzhou, Guangdong, China",Operating,,,183.7,,2723.1,,,Intamin Amusement Rides
6075,Gliding Dragon,Tianhe Park,"Tianhe, Guangzhou, Guangdong, China",Defunct,,,,,,,Twin Helix,
6076,Walrus Splash,Chimelong Ocean Kingdom,"Xiangzhou, Zhuhai, Guangdong, China",Operating,,,,,,,,Mack Rides GmbH & Co KG
6077,Orient Express,Lake City Amusement Park,"Guntersville, Alabama, United States",Defunct,,,,,,,Oval,Wisdom Rides
6078,Jet Star,Särkänniemi Amusement Park,"Tampere, Pirkanmaa, Finland",Defunct,,31.1,44.3,,1765.1,,,Schwarzkopf
6079,Ravine Flyer II,Waldameer,"Erie, Pennsylvania, United States",Operating,,57.0,80.0,118.0,2900.0,,,
6080,unknown,Landora Temalı Park,"Istanbul, Istanbul, Turkey",SBNO,,,,,,,,Vekoma
6081,Space Shuttle,Enchanted Kingdom,"Santa Rosa, Laguna, Philippines",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
6082,Wicker Man,Alton Towers,"Alton, Staffordshire, England, United Kingdom",Operating,,43.6,,72.2,2608.3,,,Great Coasters International
6083,Greased Lightnin',California's Great America,"Santa Clara, California, United States",Defunct,1.0,57.0,137.8,,863.0,,Shuttle Loop,Schwarzkopf
6084,Scramble Coaster,Lina World,"Kaminoyama, Yamagata, Japan",Defunct,,,,,,,Wild Mouse,Meisho Amusement Machines
6085,Kong,Six Flags Discovery Kingdom,"Vallejo, California, United States",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
6086,Cactus Coaster,Elitch Gardens,"Denver, Colorado, United States",Defunct,,,12.0,,,,Oval,Allan Herschell Company
6087,Mine Train Coaster,Dragon Park,"Hạ Long, Quảng Ninh, Vietnam",Operating,,27.7,42.6,,1099.0,,,Vekoma
6088,Roller Coaster,Nandaihe International Amusement Center,"Qinhuangdao, Hebei, China",Operating,1.0,49.7,,,905.5,,Shuttle Loop,Beijing Shibaolai Amusement Equipment
6089,Flug der Dämonen,Heide Park Resort,"Soltau, Lower Saxony, Germany",Operating,5.0,62.1,131.2,,2532.8,,,Bolliger & Mabillard
6090,Star-Shuttle,Bayern Park,"Reisbach, Bavaria, Germany",Operating,,,20.0,,,,U Shuttle,Sunkid Heege GmbH
6091,Sky Train,Sky Fantasia,"Kowloon, Hong Kong, China",SBNO,,,,,,,,Zamperla
6092,Train Roller Coaster,TurtleBoo,"Spring Valley, New York, United States",Operating,,,,,,,Oval,Wisdom Rides
6093,Aqua Wind,Lagunasia,"Gamagori, Aichi, Japan",Operating,,,,,,,Wild Mouse,Gerstlauer Amusement Rides GmbH
6094,BuzzSaw,Dreamworld,"Coomera, Queensland, Australia",Operating,2.0,65.3,151.6,,492.2,5.0,,Maurer Rides GmbH
6095,Flashback,Six Flags Magic Mountain,"Valencia, California, United States",Defunct,,35.0,86.0,,1900.0,,,Intamin Amusement Rides
6096,Boomerang,Freizeit-Land Geiselwind,"Geiselwind, Bavaria, Germany",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
6097,Roller Coaster,Shenyang Botanical Garden,"Dongling, Shenyang, Liaoning, China",Operating,4.0,49.7,108.3,95.2,2624.7,,,Beijing Shibaolai Amusement Equipment
6098,Bat Diving Speedy Car,Hangzhou Children's Park,"Xihu, Hangzhou, Zhejiang, China",Defunct,,18.6,26.3,,656.2,,,Nanfang Amusement Rides Co.
6099,Bushwhacker,Ratanga Junction,"Cape Town, Western Cape, South Africa",Defunct,,28.5,42.7,,1099.1,,,Vekoma
6100,Suspended Coaster,Window of the World,"Kaifu, Changsha, Hunan, China",Operating,4.0,46.6,105.0,,2585.3,,,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
6101,Família Expressz,Holnemvolt Park,"Budapest, Hungary",Defunct,,24.9,23.0,,639.8,,Figure Eight,Pinfari
6102,Moonsault Scramble,Fuji-Q Highland,"Fujiyoshida, Yamanashi, Japan",Defunct,2.0,55.9,229.7,,1509.2,6.5,,
6103,Kolejka Górska,Jurajski Park Dinozaurów,"Wasilków, Podlaskie, Poland",In Storage,,,,,,,Oval,
6104,Rodelbaan,De Waarbeek,"Hengelo, Overijssel, Netherlands",Operating,,,13.1,,,,,
6105,Montaña Rusa,Acuaparque de la Caña,"Cali, Valle del Cauca, Colombia",Defunct,,,,,,,Mite Mouse,
6106,Luge Sur Rails,Syndicat Mixte des Monts Jura,"Mijoux, Auvergne-Rhône-Alpes, France",Operating,,,,,2477.0,,,Wiegand
6107,Corkscrew,Nagashima Spa Land,"Nagashima, Kuwana, Mie, Japan",Defunct,2.0,,,,1279.5,,,Arrow Dynamics
6108,Star Mountain,Beto Carrero World,"Penha, Santa Catarina, Brazil",Operating,2.0,40.0,75.0,68.0,2400.0,,,Vekoma
6109,Bat,Lagoon,"Farmington, Utah, United States",Operating,,26.0,48.6,,1122.1,2.2,,Vekoma
6110,Windstorm,Playcenter São Paulo,"São Paulo, São Paulo, Brazil",Defunct,,,,,1300.0,,,S&MC
6111,Corkscrew,Nagashima Spa Land,"Nagashima, Kuwana, Mie, Japan",Operating,2.0,,,,1279.5,,,Arrow Dynamics
6112,Rattlesnake,Chessington World of Adventures,"Chessington, Greater London, England, United Kingdom",Operating,,28.0,49.3,,1213.9,,Wild Mouse,Maurer Rides GmbH
6113,Euro Express,Skytropolis Funland,"Genting Highlands, Pahang, Malaysia",Defunct,,,,,,,,Zamperla
6114,Spinning Coaster,Hebin Park,"Nanming, Guiyang, Guizhou, China",Operating,,,,,,,Wild Mouse,Golden Horse
6115,Rothaarblitz,Panorama Park,"Kirchhundem, North Rhine-Westphalia, Germany",Defunct,,37.3,,,2132.6,,,Mack Rides GmbH & Co KG
6116,Junior Coaster,Jerudong Park Playground,"Bandar Seri Begawan, Brunei and Muara, Brunei",Operating,,,,,,,,Preston & Barbieri
6117,Roller Coaster Mayan,Energylandia,"Zator, Małopolskie, Poland",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
6118,Ragin' Cajun,Blue Bayou Dixie Landin',"Baton Rouge, Louisiana, United States",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
6119,Russian Mountain,Happy Land,"Irbid, Irbid, Jordan",Operating,,,,,,,Zyklon / Galaxi,
6120,Back at the Barnyard Hayride,Nickelodeon Universe,"Bloomington, Minnesota, United States",Operating,,,,,,,,Zamperla
6121,Wicked Twister,Cedar Point,"Sandusky, Ohio, United States",Operating,,72.0,215.0,206.0,,,U Shuttle,Intamin Amusement Rides
6122,Wood Express,Parc Saint Paul,"Saint-Paul, Hauts-de-France, France",Operating,,38.2,50.0,48.8,1588.0,,,Gravitykraft Corporation
6123,Spinning Coaster,Children Park,"Harbin, Heilongjiang, China",Operating,,,,,,,Wild Mouse,Golden Horse
6124,Spinning Coaster,Zhongshan Park,"Nanshan, Shenzhen, Guangdong, China",Operating,,,,,,,Wild Mouse,Golden Horse
6125,Joker's Jinx,Six Flags America,"Upper Marlboro, Maryland, United States",Operating,4.0,60.0,78.8,,2705.0,4.5,,Premier Rides
6126,Tornado,M&Ds Scotland's Theme Park,"Motherwell, North Lanarkshire, Scotland, United Kingdom",Operating,2.0,44.7,78.8,,,,,Pinfari
6127,Montaña Rusa,Parque Lenin,"Havana, Havana, Cuba",Defunct,3.0,,,,,,,Beijing Shibaolai Amusement Equipment
6128,Mad Mouse,Bayside Fun Park,"Bridlington, East Riding of Yorkshire, England, United Kingdom",Defunct,,,,,,,Wild Mouse,Fabbri
6129,Mad Mouse,Pleasure Garden,"Hitachi, Ibaraki, Japan",Defunct,,,,,,,Wild Mouse,"Senyo Kogyo Co., Ltd."
6130,Magic Ring Roller Coaster,Floraland Continent Park,"Wenjiang, Chengdu, Sichuan, China",Operating,2.0,,151.6,,590.6,,,Beijing Shibaolai Amusement Equipment
6131,Dragon Wagon,Funtown Pier,"Seaside Park, New Jersey, United States",Defunct,,,,,,,,Wisdom Rides
6132,Montaña Rusa,VulQano Park,"Quito, Pichincha, Ecuador",Operating,1.0,,36.1,,1197.5,,,Pinfari
6133,Trampolino-Coaster,Trampolino Familien- und Freizeitpark,"Andernach, Rhineland-Palatinate, Germany",Operating,,,,,,,Zyklon / Galaxi,SBF Visa Group
6134,HangOver,Liseberg,"Gothenburg, Västra Götaland, Sweden",Defunct,3.0,50.0,131.2,,1013.8,5.0,,Vekoma
6135,Big Apple,Botton's Pleasure Beach,"Skegness, Lincolnshire, England, United Kingdom",Operating,,,,,,,Big Apple / Wacky Worm,Pinfari
6136,Wildcat,Jolly Roger Amusement Park,"Ocean City, Maryland, United States",Operating,,,,,,,,Schwarzkopf
6137,Bullet,Crystal Palace Amusement Park,"Dieppe, New Brunswick, Canada",Defunct,,,,,,,,Zierer
6138,Toboroule,Toboroule,"Fontenais, Jura, Switzerland",Defunct,,,,,2788.8,,,
6139,Looping,Feira Popular de Lisboa,"Lisbon, Lisbon, Portugal",Defunct,1.0,,36.1,,1197.5,,,Pinfari
6140,Pirates Hideaway,Casino Pier,"Seaside Heights, New Jersey, United States",Operating,,,,,,,,Wisdom Rides
6141,Balaurul 7 Capete,Parcul Lacul Tei,"Bucharest, Romania",Operating,,41.1,68.8,,1509.2,,,Preston & Barbieri
6142,Black Widow,Old Indiana Fun-n-Water Park,"Thorntown, Indiana, United States",Defunct,1.0,45.0,56.0,47.0,635.0,4.0,Shuttle Loop,Arrow Dynamics
6143,Twist,Le Pal,"Dompierre Sur Besbre, Auvergne-Rhône-Alpes, France",Operating,,43.5,72.2,,1542.0,,,Mack Rides GmbH & Co KG
6144,Psyclone,Six Flags Magic Mountain,"Valencia, California, United States",Defunct,,50.0,95.0,,,3.0,Cyclone,Dinn Corporation
6145,Flitzer,Jenkinson's Boardwalk,"Point Pleasant Beach, New Jersey, United States",Defunct,,,,,,,,Zierer
6146,Roller Coaster,Khu du lịch Long Điền Sơn,"Tây Ninh, Tây Ninh, Vietnam",Operating,,,,,,,Single Helix (left),Sấu Con
6147,Nonhoi Coaster,Toyohashi Non Hoi Park,"Toyohashi, Aichi, Japan",Operating,,,17.1,,406.8,,,"Senyo Kogyo Co., Ltd."
6148,Little Dipper,Six Flags Great America,"Gurnee, Illinois, United States",Operating,,,28.0,,700.0,,,"Philadelphia Toboggan Coasters, Inc."
6149,Rakevet Harim Leyladim,Superland,"Rishon LeZion, Tel Aviv, Israel",Operating,,,13.0,,262.5,,Single Helix (center),Zamperla
6150,Nyckelpigan,Gröna Lund,"Stockholm, Stockholm, Sweden",Operating,,16.2,10.8,,197.5,,Oval,Zierer
6151,Centi-SPEED,Alabama Adventure & Splash Adventure,"Bessemer, Alabama, United States",Operating,,,,,,,Big Apple / Wacky Worm,Fajume
6152,Children Walker Car,Visionland,"Yufeng, Liuzhou, Guangxi, China",Operating,,,,,,,Oval,Golden Horse
6153,Circus Coaster,Luna Park,"Brooklyn, New York, United States",Operating,,18.6,29.5,,574.2,,,Zamperla
6154,Wonder Splash,Wonderla Amusement Park Bangalore,"Bangalore, Karnataka, India",Operating,,,,,,,Oval,
6155,Ninja,Six Flags Magic Mountain,"Valencia, California, United States",Operating,,55.0,60.0,,2700.0,,Terrain,Arrow Dynamics
6156,Batman The Ride,Six Flags Mexico,"Mexico City, Mexico",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
6157,Blizzard,Lucky Star Park,"Aradippou, Larnaca, Cyprus",SBNO,,22.4,24.0,,721.0,,,Cavazza Diego
6158,Atlantis Adventure,Lotte World,"Jamsil-Dong, Songpa-Gu, Seoul, South Korea",Operating,,46.6,72.2,,2198.1,3.8,,Intamin Amusement Rides
6159,Family Coaster,Mother Farm,"Futtsu, Chiba, Japan",Operating,,,13.0,,262.5,,Single Helix (center),Zamperla
6160,Water Dragon King,Sun Tribe,"Daiyue, Tai'an, Shandong, China",Operating,,,,,,,,Golden Horse
6161,Tiger Mike Roller Coaster,Timezone,"Tangerang, West Java, Indonesia",Defunct,,,,,,,,Wisdom Rides
6162,Big Adventure Coaster,Adventure World,"Shirahama, Nishimuro, Wakayama, Japan",Operating,,,,,,,,"Senyo Kogyo Co., Ltd."
6163,Mad Mouse,Rusutsu Resort,"Rusutsu, Abuta, Shiribeshi, Hokkaido, Japan",Operating,,,,,,,,Saeki
6164,Water Chute,Athisayam,"Madurai, Tamil Nadu, India",Operating,,,,,620.0,,Oval,
6165,Potential Energy Train,29/3 Park,"Đà Nẵng, Vietnam",Operating,,,,,,,,
6166,Tree Top Racers,Adventure City,"Anaheim, California, United States",Defunct,,,35.0,,900.0,,Wild Mouse,Miler Manufacturing
6167,Holly's Wilde Autofahrt,Holiday Park,"Hassloch, Rhineland-Palatinate, Germany",Defunct,,28.0,49.3,,1213.9,,Wild Mouse,Maurer Rides GmbH
6168,Rodelbahn,Sommer-Rodelbahn Bodenwerder,"Bodenwerder, Lower Saxony, Germany",Operating,,,,,1968.5,,,Wiegand
6169,Gekion Live Coaster,Tokyo Joypolis,"Odaiba, Minato, Tokyo, Japan",Operating,1.0,23.6,16.4,,984.3,,,Gerstlauer Amusement Rides GmbH
6170,Dragon Super Carousel,International Luna Park,"Glyfada, Attica, Greece",Defunct,,,,,,,,Zamperla
6171,Spinning Coaster,Happiness Children's Playground,"Lhasa, Xizang, China",Operating,,,,,,,Wild Mouse,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
6172,Flounder's Flying Fish Coaster,Tokyo DisneySea,"Urayasu, Chiba, Japan",Operating,,20.0,,,787.0,,,Togo
6173,Tropical Track,Happyland New,"Granges, Valais, Switzerland",Operating,,,24.6,,689.0,,Big Apple / Wacky Worm,Interpark
6174,Looping Star,Jolly Roger at the Pier,"Ocean City, Maryland, United States",Operating,1.0,,36.1,,1197.5,,,Pinfari
6175,Dragon,Legoland Windsor,"Windsor, Berkshire, England, United Kingdom",Operating,,,,,,,,WGH Transportation
6176,Ultra Twister Megaton,Greenland,"Arao, Kumamoto, Japan",Operating,3.0,43.5,98.4,,1181.1,,,Togo
6177,Luge,Parc d'Olhain,"Maisnil-lès Ruitz, Hauts-de-France, France",Operating,,21.7,,,2001.3,,,Wiegand
6178,Batman The Ride,Six Flags Great Adventure,"Jackson, New Jersey, United States",Operating,5.0,50.0,105.0,,2693.0,,,Bolliger & Mabillard
6179,Typhoon Coaster,Land of Legends Theme Park,"Antalya, Antalya, Turkey",Operating,,53.4,141.1,,1722.4,,,Intamin Amusement Rides
6180,Flying Dragon,Kuwait Entertainment City,"North West Al-Sulaibikhat, Al Asimah, Kuwait",SBNO,,18.6,14.8,,413.4,,,Zierer
6181,Twister Coaster,Chimelong Paradise,"Panyu, Guangzhou, Guangdong, China",In Storage,,,,,,,Wild Mouse,Golden Horse
6182,Coaster,Central Park,"Mirzo Ulugbek, Tashkent City, Uzbekistan",Operating,,,19.7,,442.8,,,Preston & Barbieri
6183,Mini Coaster,Hamanako Pal Pal,"Hamamatsu, Shizuoka, Japan",Operating,,,,,,,,
6184,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas, United States",Operating,,51.0,96.0,92.0,3236.0,,,Martin & Vleminckx
6185,Swiss Toboggan,Little Amerricka,"Marshall, Wisconsin, United States",Operating,,,45.0,,450.0,,,Chance Rides
6186,American Mountains,Mtatsminda Park,"Tbilisi, Georgia",Operating,3.0,,,,,,,Beijing Shibaolai Amusement Equipment
6187,Hasenhorn Coaster,Hasenhorn Rodelbahn,"Todtnau, Baden Wuerttemberg, Germany",Operating,,,,,8858.3,,,Wiegand
6188,Dragon,Via/Crazy Park,"Sultanbeyli, Istanbul, Turkey",Defunct,,,,,,,,DAL Amusement Rides Company
6189,Die eiserne Schlange,RitterRost - Magic Park Verden,"Verden, Lower Saxony, Germany",SBNO,,22.4,26.3,,1181.1,,Double Figure Eight,Zierer
6190,Bob na Šinama,Ski Centar Kopaonik,"Brzeće, Rasina, Serbia",Operating,,,,,1886.5,,,Wiegand
6191,Dragon Wagon,Funtown Pier,"Seaside Park, New Jersey, United States",Defunct,,,,,,,,Wisdom Rides
6192,Jetcorster-Discovery,Lina World,"Kaminoyama, Yamagata, Japan",Operating,,,,,1925.8,,,Meisho Amusement Machines
6193,Express,Luna Park Tirana,"Tirana, Tiranë, Albania",Operating,,,,,,,Oval,
6194,Wild Train,Parc Saint Paul,"Saint-Paul, Hauts-de-France, France",Operating,,43.5,49.2,,1049.9,,,Pax Company
6195,Racing Coaster,Trampoline Trier,"Trier, Rhineland-Palatinate, Germany",Operating,,,,,,,,SBF Visa Group
6196,Rodeo Ride,Taunus Wunderland,"Schlangenbad, Hesse, Germany",Defunct,,,,,,,Single Helix (center),Zamperla
6197,Bullet,Flamingo Land,"Malton, North Yorkshire, England, United Kingdom",Defunct,1.0,50.0,131.0,,,,,Schwarzkopf
6198,Mountain Coaster,Snowbird,"Sandy, Utah, United States",Operating,,,,,2099.7,,,Wiegand
6199,Mayan Adventure,Formosan Aboriginal Culture Village,"Yuchr Shiang, Nantou County, Taiwan",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
6200,Dragon Quest,Macau Fisherman's Wharf,"Macau, China",Defunct,,,,,,,,
6201,Amerikanskaya Gorka,Samonids Recreation Park,"Bukhara, Bukhara, Uzbekistan",Operating,,,,,,,Single Helix (right),Yamasakutalab
6202,Double Loop,Kobe Portopialand,"Chuo, Kobe, Hyōgo, Japan",Defunct,2.0,49.7,93.5,85.3,2362.2,4.0,,Schwarzkopf
6203,Sky Mountain,Mirabilandia,"Olinda, Pernambuco, Brazil",In Storage,3.0,65.6,191.6,177.0,1204.0,4.5,,Vekoma
6204,Mad Mouse,Lakemont Park,"Altoona, Pennsylvania, United States",Defunct,,,,,,,Wild Mouse,Allan Herschell Company
6205,Goliath,Six Flags Magic Mountain,"Valencia, California, United States",Operating,,85.0,235.0,255.0,4500.0,,,Giovanola
6206,Bull Fight in the Sky,Sun Tribe,"Daiyue, Tai'an, Shandong, China",Operating,,,,,,,,Golden Horse
6207,Children Roller Coaster,Narimanov Park,"Baku, Absheron, Azerbaijan",Operating,,,,,,,Big Apple / Wacky Worm,
6208,Xcelerator,Knott's Berry Farm,"Buena Park, California, United States",Operating,,82.0,205.0,,2202.0,,,Intamin Amusement Rides
6209,Roller Coaster,Elf Amusement Park,"Tianqiao, Jinan, Shandong, China",Operating,,26.7,55.8,,1246.8,,,"Hebei Zhongye Metallurgical Equipment Manufacturing Co., Ltd"
6210,Família Expressz,Holnemvolt Park,"Budapest, Hungary",Defunct,,24.9,23.0,,639.8,,Figure Eight,Pinfari
6211,Tropical Track,Happyland New,"Granges, Valais, Switzerland",Operating,,,24.6,,689.0,,Big Apple / Wacky Worm,Interpark
6212,Inferno Mountain Coaster,Purgatory Resort,"Durango, Colorado, United States",Operating,,25.0,,,4000.0,,,Aquatic Development Group
6213,Wild Mouse,Aussie World,"Sunshine Coast, Queensland, Australia",Defunct,,,,,,,Wild Mouse,Hopkins & Pearce
6214,Taxi Jam,Canada's Wonderland,"Vaughan, Ontario, Canada",Operating,,,,,,,Oval,E&F Miler Industries
6215,Bandidos,Mer de Sable,"Ermenonville, Hauts-de-France, France",Operating,,,,,,,,SBF Visa Group
6216,Great Chase,Six Flags New England,"Agawam, Massachusetts, United States",Operating,,,,,,,,E&F Miler Industries
6217,Tiki-Waka,Walibi Belgium,"Wavre, Walloon Brabant, Wallonia, Belgium",Operating,,34.2,68.9,,1850.4,,,Gerstlauer Amusement Rides GmbH
6218,unknown,Granite Park,"Fresno, California, United States",Defunct,,,69.0,,2400.0,,,Intamin Amusement Rides
6219,Atomic Coaster,Japan Monkey Park,"Inuyama, Aichi, Japan",Defunct,1.0,49.7,124.7,,869.4,,,
6220,Cheetah,Wild Adventures,"Valdosta, Georgia, United States",Operating,,52.0,92.0,90.0,2680.0,,,"Custom Coasters International, Inc."
6221,unknown,Nairamdal Park,"Ulaanbaatar, Mongolia",Defunct,,,,,,,Mite Mouse,
6222,Petit Grand Huit,Ty'Bamboo,"Dammarie-Les-Lys, Île-de-France, France",Defunct,,,,,,,Big Apple / Wacky Worm,
6223,Sky Roller Coaster,Shengming Universal City,"Yubei, Chongqing, China",Operating,4.0,40.4,88.6,,1640.4,,,Wuhan Fute Amusement Rides
6224,Barnstormer,Walt Disney World - Magic Kingdom,"Lake Buena Vista, Florida, United States",Operating,,25.0,30.0,,,,,Vekoma
6225,Magic Castle,E-World,"Daegu, South Korea",Operating,,,,,,,,EOS
6226,Odenwaldbob,Sommerrodelbahn Wald Michelbach,"Wald-Michelbach, Hesse, Germany",Operating,,,,,3280.8,,,Wiegand
